title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Damsel,"Arnold, Elana K.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Damsel,"Arnold, Elana K.",,,,,Texas,Frisco Independent School District,August 2022,Banned from Libraries and Classrooms,Administration
Damsel,"Arnold, Elana K.",,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
Damsel,"Arnold, Elana K.",,,,,Utah,Davis School District,December 2022,Banned from Libraries and Classrooms,Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
Damsel,"Arnold, Elana K.",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Infandous,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Infandous,"Arnold, Elana K.",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Infandous,"Arnold, Elana K.",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Infandous,"Arnold, Elana K.",,,,,Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Infandous,"Arnold, Elana K.",,,,,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Florida,School District of Manatee County,July 2022,Banned from Libraries and Classrooms,Legislative Action
Red Hood,"Arnold, Elana K.",,,,,Florida,Volusia County Schools,March 2023,Banned from Libraries and Classrooms,Administration
Red Hood,"Arnold, Elana K.",,,,,Iowa,Carroll Community School District,August 2022,Banned Pending Investigation,Informal Challenge
Red Hood,"Arnold, Elana K.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
